first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value
Normy,Goodinge,U,5,,Associate Professor,IT,Mass Customer,N,No,4,7232 Fulton Parkway,3810,VIC,Australia,5,57,1.375
Lorrie,Antonelli,Male,47,11/2/1983,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,57,1.375
Jedediah,Kedie,Male,31,29/12/1971,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9,62,1.36796875
Kaine,Smallcombe,Male,59,6/2/1942,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,62,1.36796875
Loise,Iltchev,Female,70,18/3/1967,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6,62,1.36796875
Cristen,Maroney,Female,22,21/11/1999,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,65,1.3625
Dorothy,Barnardo,Female,58,1/2/1983,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,65,1.3625
Rosmunda,Duxbarry,Female,69,20/7/1996,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,65,1.3625
Rozamond,Riha,Female,54,7/10/1984,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,68,1.3546875
Gunner,Petti,Male,62,8/6/1999,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,68,1.3546875
Vivienne,Crayden,Female,82,18/9/1988,Associate Professor,n/a,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,68,1.3546875
Sherilyn,Canero,Female,11,3/8/1996,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,68,1.3546875
Bessie,Roscow,Female,78,4/8/1994,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,72,1.35
Kevina,Ferandez,Female,73,21/9/1999,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,72,1.35
Yancy,Clementet,Male,5,16/2/1968,Mechanical Systems Engineer,n/a,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9,72,1.35
Mabelle,Wellbelove,Female,76,21/4/1958,,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,72,1.35
Hasheem,Groucock,Male,98,17/9/1974,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,72,1.35
Tobias,Woodhams,Male,0,15/4/1961,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,77,1.34140625
Glennis,Flintoff,Female,36,22/10/1956,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,78,1.3375
Chanda,Mensler,Female,15,14/1/1972,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,78,1.3375
Katheryn,Kinner,Female,15,28/11/1973,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6,78,1.3375
Sumner,Carrivick,Male,53,9/4/1995,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,78,1.3375
Valerie,Pickover,Female,34,8/9/1965,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8,78,1.3375
Esther,Rooson,Female,14,22/2/1981,,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,78,1.3375
Gardie,Crellim,Male,58,12/9/1975,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,84,1.328125
Sean,O'Loughlin,Male,48,22/3/1961,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,85,1.325
Pietra,Buckleigh,Female,9,29/4/1949,Engineer III,n/a,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,85,1.325
Marysa,Rouchy,Female,8,15/2/1999,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,85,1.325
Kahaleel,,Male,5,1/11/1942,GIS Technical Architect,n/a,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,88,1.31484375
Ossie,Midden,Male,49,10/2/1950,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,89,1.3125
Sid,Carlone,Male,24,18/8/1971,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,89,1.3125
Ludovico,Juster,Male,93,19/4/1992,Environmental Specialist,n/a,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,89,1.3125
Patricia,Everix,Female,34,19/2/1978,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,89,1.3125
Andromache,Bonafacino,Female,84,1/9/1977,,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,89,1.3125
Levy,Abramamov,Male,94,21/9/1952,Teacher,n/a,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,89,1.3125
Nobe,McAughtry,Male,25,14/12/1978,,n/a,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,89,1.3125
Jehu,Prestedge,Male,91,20/10/1999,,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,96,1.3
Symon,Mawne,Male,18,8/2/1943,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,96,1.3
Karlik,Penchen,Male,60,31/10/1994,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,96,1.3
Bengt,Bilson,Male,26,2/11/1972,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,99,1.296875
Evangelin,Boc,Female,30,9/5/2000,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,99,1.296875
Hanny,Treven,Female,84,22/1/1991,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,99,1.296875
Gina,Mallon,Female,56,11/2/1994,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,102,1.28828125
Reynold,Elman,Male,19,18/1/1940,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,102,1.28828125
Flossy,Concannon,Female,64,20/10/1980,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,104,1.2875
Cristen,Wiltshire,Female,59,20/10/1961,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,104,1.2875
Griffith,Escot,Male,50,23/10/1946,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,104,1.2875
Jamie,Jiruca,Female,21,16/6/1963,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9,104,1.2875
Lyon,Brittan,Male,14,23/4/1972,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8,104,1.2875
Aridatha,Sephton,Female,95,22/10/1961,Human Resources Assistant II,n/a,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,104,1.2875
Michal,Bryan,Female,1,9/11/1969,,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,104,1.2875
Franciska,Stigell,Female,95,15/11/1968,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,111,1.28125
Jordan,Clampe,Male,37,9/12/1939,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,111,1.28125
David,Napoleon,Male,72,5/11/1961,Structural Engineer,n/a,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11,111,1.28125
Meriel,Tapp,Female,0,13/8/1995,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,114,1.275
Dolley,Starmont,Female,53,8/11/1977,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,114,1.275
Frederik,Milan,Male,45,13/11/1997,,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,114,1.275
Rollo,Louedey,Male,64,9/7/1946,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9,114,1.275
Jerrine,Cosbey,Female,21,11/1/1978,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,114,1.275
Roddy,Rubinshtein,Male,37,8/10/1987,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,114,1.275
Viki,Coutts,Female,2,14/12/1952,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,120,1.2625
Ashby,Bispham,Male,71,29/10/1981,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,120,1.2625
Alexander,Broadbent,Male,57,28/5/1997,Desktop Support Technician,n/a,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,120,1.2625
Teddy,Lagadu,Female,86,20/7/1969,Design Engineer,n/a,High Net Worth,N,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,120,1.2625
Peria,Rantoull,Female,3,13/3/1975,Financial Analyst,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,120,1.2625
Ludvig,Andren,Male,44,22/2/1941,Media Manager III,n/a,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,125,1.26171875
Elsworth,Abbitt,Male,71,8/2/1956,,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,125,1.26171875
Rebeca,Aggas,Female,66,27/2/1953,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1,127,1.25
Ricki,Dobrowski,Male,13,10/3/1975,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,127,1.25
Georgetta,Lovett,Female,42,2/2/1940,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1,127,1.25
Bambi,Cogger,Female,51,12/7/1990,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,127,1.25
Aurie,Rhead,Female,78,28/7/1962,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,127,1.25
Farris,Skettles,Male,38,3/7/1965,Payment Adjustment Coordinator,n/a,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,132,1.2484375
Sharline,Abyss,Female,11,18/3/1960,,n/a,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,133,1.2375
Nowell,Preddy,Male,29,23/7/1985,,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,133,1.2375
Lacy,Drance,Female,27,5/2/1978,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,133,1.2375
Padraig,Snel,Male,89,8/11/1970,Staff Accountant II,n/a,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,133,1.2375
Malorie,Votier,Female,90,29/5/1990,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,133,1.2375
Shepperd,Ricards,Male,28,27/9/1967,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,133,1.2375
Daryl,Pauncefort,Female,12,18/6/1979,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,133,1.2375
Norina,Blakeway,Female,60,11/2/1980,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,133,1.2375
My,Chaston,Male,92,16/7/1966,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,133,1.2375
Isak,Bergstram,Male,14,8/3/2001,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,142,1.23515625
Grannie,Cracker,Male,28,6/3/1949,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,142,1.23515625
Welby,Lourenco,Male,6,27/12/1975,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,144,1.234375
Glenn,Casbourne,Female,4,8/8/1981,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,144,1.234375
Nadiya,Balasini,Female,40,5/11/1950,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,146,1.225
Tyne,Coate,Female,82,15/7/1965,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8,146,1.225
Christie,Anders,Male,38,2/10/1969,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,146,1.225
Agnella,Capener,Female,58,21/5/1969,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6,146,1.225
Bernardine,Delmonti,Female,39,31/3/1971,,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,146,1.225
Daisy,Spowart,Female,60,18/12/1967,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,146,1.225
Denys,Minshall,Female,30,26/12/1961,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,152,1.221875
Archibald,Blessed,Male,61,10/2/1969,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,153,1.21875
Feodor,Englishby,Male,54,14/8/1961,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,154,1.203125
Skippie,Yearsley,Male,6,4/9/1956,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,155,1.2
Bill,,Female,74,24/4/1963,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,155,1.2
Tessa,Friese,Female,89,24/10/1976,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9,157,1.1953125
Roseanne,Caruth,Female,16,25/5/1957,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,158,1.1875
Tedra,Goodbanne,Female,4,15/1/1978,Senior Quality Engineer,n/a,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,158,1.1875
Roberto,Harme,Male,27,11/6/1951,Environmental Tech,n/a,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,Australia,9,158,1.1875
Nichole,Leisman,Male,37,7/8/1986,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,158,1.1875
Amil,Ennor,Female,23,4/8/1995,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,158,1.1875
Shawna,Hinrichsen,Female,60,27/8/1969,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,163,1.18203125
Fonsie,Levane,Male,96,10/7/1951,Account Representative III,n/a,High Net Worth,N,Yes,19,83 Armistice Terrace,4011,QLD,Australia,3,163,1.18203125
Emilie,Brody,Female,3,22/5/1979,Director of Sales,n/a,Mass Customer,N,Yes,3,5388 Burrows Alley,2073,NSW,Australia,11,163,1.18203125
Robert,Corkill,Male,55,12/3/1976,Clinical Specialist,Health,Mass Customer,N,No,4,5612 Toban Point,2227,NSW,Australia,10,166,1.175
Elvira,Kurten,Female,65,18/3/1973,Assistant Professor,Financial Services,High Net Worth,N,No,12,65 Ridge Oak Court,2471,NSW,Australia,3,166,1.175
Juliana,Mitchenson,Female,55,5/1/1989,Environmental Tech,Manufacturing,Mass Customer,N,Yes,8,74 Russell Terrace,4350,QLD,Australia,4,166,1.175
Regine,Bownes,Female,99,1/7/1952,Senior Developer,Retail,Affluent Customer,N,No,15,255 Loeprich Lane,3752,VIC,Australia,9,166,1.175
Abner,Fraschetti,Male,33,23/1/1986,Staff Scientist,Argiculture,Affluent Customer,N,No,13,67 Northport Avenue,3805,VIC,Australia,7,166,1.175
Alvira,Coulman,Female,42,5/6/1955,Account Representative II,n/a,Affluent Customer,N,No,14,823 Wayridge Trail,2205,NSW,Australia,9,166,1.175
Sawyer,Sponton,Male,36,22/2/1956,Help Desk Technician,Property,Mass Customer,N,Yes,10,5 Golf Terrace,2126,NSW,Australia,11,166,1.175
Feodor,Vickers,Male,60,18/11/1989,VP Quality Control,Financial Services,Mass Customer,N,Yes,4,40809 Truax Way,2209,NSW,Australia,6,173,1.171875
Paten,Cayet,Male,56,19/2/1995,Assistant Manager,Manufacturing,Affluent Customer,N,Yes,16,1398 Burning Wood Way,3850,VIC,Australia,1,174,1.16875
Loria,Tappington,Female,72,6/9/1955,Research Assistant IV,Property,Mass Customer,N,No,5,3920 Swallow Junction,3038,VIC,Australia,8,174,1.16875
